SNo.,District Name,Janpad / Block Name,Panchayat Name,Work Start Fin Year,Work Status,Work Code,Work Name,Master Work Category Name,Work Category Name,WORK TYPE as per new work creation Module,Work Type,Agency Name,Sanction Wages (Rs),Sanction Material (Rs),Booked Current FY Wages (Rs),Booked Current FY Material (Rs),Paid Current FY Wages (Rs),Paid Current FY Material (Rs),Booked Since Inception Wages (Rs),Booked Since Inception Material (Rs),Paid Since Inception Wages (Rs),Paid Since Inception Material (Rs),Total Mandays,Mandays Generated Current FY,No. Of Units,Is Exempted Ongoing Community Works(20) within GP,Is Secure,Is Convergence,Work Started Date,Work Physically/ Completed Date,Individual Beneficiary JCN
3117,SATNA,MAIHAR,BHATOORA,2024-2025,Ongoing,1712008057/IF/IAY/4665712,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150600672,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,30-09-2024,
3118,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/22012035236034,khet talab ghosha singh,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of Farm Ponds for Individuals,Construction of Farm Ponds for Individuals,Gram Panchayat,340606.02,79517.55,420127,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,01-04-2025,
3119,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/IAY/5554974,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149048894,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,01-09-2025,
3120,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/IAY/5557558,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149534075,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,1305,0,0,0,0,0,0,0,5,5,1,,NO,YES,01-09-2025,
3121,SATNA,MAIHAR,BHATOORA,2025-2026,Physically Completed,1712008057/IF/IAY/5560329,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149507043,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,10,10,1,,NO,YES,01-09-2025,02-08-2026
3122,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/IAY/5563187,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149470541,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,7830,0,0,0,0,0,0,0,30,30,1,,NO,YES,01-09-2025,
3123,SATNA,MAIHAR,BHATOORA,2025-2026,New,1712008057/IF/22012035468932,kapil dhara Recharge fit pursottam singh /visesar singh,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Works on Individuals Land (Category IV),Construction of Sand filter for Openwell recharge for Individual,Constr of Sand filter-openwell recharge for Indiv,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,04-05-2025,
3124,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/IAY/5567216,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149624027,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,04-07-2025,
3125,SATNA,MAIHAR,BHATOORA,2025-2026,Physically Completed,1712008057/IF/IAY/5554973,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149048770,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,1305,0,0,0,0,0,0,0,5,5,1,,NO,YES,12-07-2025,09-08-2026
3126,SATNA,MAIHAR,BHATOORA,2025-2026,Physically Completed,1712008057/IF/IAY/5554976,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149049246,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,1305,0,0,0,0,0,0,0,5,5,1,,NO,YES,12-07-2025,02-08-2026
3127,SATNA,MAIHAR,BHATOORA,2025-2026,Physically Completed,1712008057/IF/IAY/5554990,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149269522,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,12-07-2025,02-08-2026
3128,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/IAY/5555488,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150578356,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,12-07-2025,
3129,SATNA,MAIHAR,BHATOORA,2025-2026,Physically Completed,1712008057/IF/IAY/5559988,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP148890435,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,12-07-2025,09-08-2026
3130,SATNA,MAIHAR,BHATOORA,2025-2026,Approved,1712008057/WC/22012035302513,जन गंगा संवर्धन अंतर्गत डग बेल रिचार्ज हनुमान मंदिर के पास भटूरा,A --PUBLIC WORKS RELATING TO NATURAL RESOURCES MANAGEMENT,Water Conservation and Water Harvesting,Construction of Sand filter for openwell recharge for Community,Constr of Sand filter - openwell recharge for Comm,Gram Panchayat,15000,0,25000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-04-2025,
3131,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/22012035511477,ramswaroop patel khet talab bhatoora,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of Farm Ponds for Individuals,Construction of Farm Ponds for Individuals,Gram Panchayat,365838.98,85046.66,450886,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,15-05-2025,
3132,SATNA,MAIHAR,BHATOORA,2025-2026,New,1712008057/IF/22012035642434,ek bagiya ma ke nam sukhmanti patel mp 12/008/57/003/38c shg 4400042,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Block Plantation of Horticulture Trees in fields for Individual,Block Plantation-Hort-Trees in fields-Individuals,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,15-08-2025,
3133,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/22012035617830,ek bagiya ma ke nam seeta bai bhmmiya mp1200805700340 shg 6136229,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Block Plantation of Horticulture Trees in fields for Individual,Block Plantation-Hort-Trees in fields-Individuals,Gram Panchayat,111528.16,150219.07,261930,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,15-09-2025,
3134,SATNA,MAIHAR,BHATOORA,2025-2026,Ongoing,1712008057/IF/22012035644214,ek bagiya ma ke nam sukhmantee patel mp12/008/057/003/38c shg 4400042,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Block Plantation of Horticulture Trees in fields for Individual,Block Plantation-Hort-Trees in fields-Individuals,Gram Panchayat,60597.5,99249.48,160028,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,17-01-2026,
3135,SATNA,MAIHAR,BHEDA,2017-2018,Approved,1712008070/IF/IAY/1119534,Construction of IAY House -IAY REG. NO. MP1859696,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,IAY Houses,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,16-05-2017,
3136,SATNA,MAIHAR,BHEDA,2019-2020,Ongoing,1712008070/IF/22012034498743,खेत तालाब कुंजीलाल कोल,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of Farm Ponds for Individuals,Construction of Farm Ponds for Individuals,Gram Panchayat,75813.4,26183.39,101997,0,0,0,0,0,0,0,0,0,0,1,,YES,NO,05-12-2019,
3137,SATNA,MAIHAR,BHEDA,2021-2022,Approved,1712008070/IF/IAY/3488116,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4415989,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,30-12-2021,
3138,SATNA,MAIHAR,BHEDA,2022-2023,Approved,1712008070/IF/IAY/3900673,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149603537,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,28-04-2022,
3139,SATNA,MAIHAR,BHEDA,2024-2025,Ongoing,1712008070/IF/IAY/4869188,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP150964302,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,06-01-2025,
3140,SATNA,MAIHAR,BHEDA,2024-2025,Ongoing,1712008070/IF/IAY/4869556,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149694436,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,06-01-2025,
3141,SATNA,MAIHAR,BHEDA,2024-2025,Ongoing,1712008070/IF/IAY/4869563,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149729939,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,06-01-2025,
3142,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/RC/22012034818658,सुदूर ग्राम सडक सम्पर्क रोड भेडा पुराना तलाब से सेहेरुआ नरवा,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Gravel Road Roads for Community,Construction of Gravel Road Roads for Community,Gram Panchayat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,NO,NO,08-06-2024,
3143,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/RC/22012034821270,पीसीसी रोड विद्यमान केवट के घर से पंचायत भवन कीओर,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,92000,0,614000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,08-06-2024,
3144,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832289,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149617347,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,11-03-2025,
3145,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832465,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149609627,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,11-03-2025,
3146,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832291,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149664583,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-09-2024,
3147,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832572,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151119665,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,14-09-2024,
3148,SATNA,MAIHAR,BHEDA,2024-2025,Ongoing,1712008070/IF/IAY/4869547,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149662299,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,15-02-2025,
3149,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/RC/22012034836560,पीसीसी रोड बब्बू तोमर के घर के पीछे से हरिजन बस्ती,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,31000,0,167000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,25-01-2025,
3150,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5557215,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151265352,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,
3151,SATNA,MAIHAR,BHEDA,2024-2025,Physically Completed,1712008070/IF/IAY/5832292,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149664633,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,09-08-2026
3152,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832316,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151195714,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,
3153,SATNA,MAIHAR,BHEDA,2024-2025,Physically Completed,1712008070/IF/IAY/5832507,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149705019,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,09-08-2026
3154,SATNA,MAIHAR,BHEDA,2024-2025,Physically Completed,1712008070/IF/IAY/5832509,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149729905,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,09-08-2026
3155,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832573,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151199184,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,
3156,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5832912,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151163964,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,
3157,SATNA,MAIHAR,BHEDA,2024-2025,Approved,1712008070/IF/IAY/5833129,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149719332,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,
3158,SATNA,MAIHAR,BHEDA,2024-2025,Physically Completed,1712008070/IF/IAY/5833139,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149702476,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,27-02-2025,09-08-2026
3159,SATNA,MAIHAR,BHEDA,2025-2026,Physically Completed,1712008070/IF/IAY/5555774,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP126659970,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,04-07-2025,09-08-2026
3160,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/RC/22012034641733,पीसीसी रोड NH7 (NH30 ) से खोंधिरा बस्ती,D --RURAL INFRASTUCTURE,Rural Connectivity,Construction of Cement Concrete Roads for Community,Constr of Cement Concrete Roads for Comm,Gram Panchayat,176000,0,923000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,16-06-2025,
3161,SATNA,MAIHAR,BHEDA,2025-2026,Physically Completed,1712008070/IF/IAY/5555550,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149665628,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,19-07-2026
3162,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/IF/IAY/5556287,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149660143,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,
3163,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/IF/IAY/5557001,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149655843,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,
3164,SATNA,MAIHAR,BHEDA,2025-2026,Physically Completed,1712008070/IF/IAY/5557010,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149728217,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,09-08-2026
3165,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/IF/IAY/5559116,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151137297,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,3600,0,0,0,0,0,0,0,12,12,1,,NO,YES,19-07-2025,
3166,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/IF/IAY/5559913,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP147799444,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,
3167,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/IF/IAY/5563327,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149724121,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,
3168,SATNA,MAIHAR,BHEDA,2025-2026,Physically Completed,1712008070/IF/IAY/5563449,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151175570,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,19-07-2025,19-07-2026
3169,SATNA,MAIHAR,BHEDA,2025-2026,Ongoing,1712008070/IF/IAY/5566478,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149695579,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,3300,0,3300,0,3300,0,3300,0,11,11,1,,NO,YES,19-07-2025,
3170,SATNA,MAIHAR,BHEDA,2026-2027,Ongoing,1712008070/IF/IAY/5832303,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP151187073,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,27000,0,27000,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,23-04-2026,
3171,SATNA,MAIHAR,BHEDA,2026-2027,Physically Completed,1712008070/IF/IAY/5832508,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP149725883,B --INDIVIDUAL ASSETS FOR VULNERABLESECTIONS (ONLY FOR HOUSEHOLDS IN PARAGRAPH 5),Works on Individuals Land (Category IV),Construction of PMAY-G House Building for Individuals,Constr of PMAY-G House for Individuals,Gram Panchayat,23490,0,23490,0,0,0,0,0,0,0,0,0,0,1,,NO,YES,23-04-2026,09-08-2026
